Soortgroep;Soorten;beheercode
planten;Engels gras;N12.04
planten;fijn goudscherm;N12.04
planten;fraai duizendguldenkruid;N12.04
planten;genadekruid;N12.04
planten;gerande schijnspurrie;N12.04
planten;getand vlotgras;N12.04
planten;heemst;N12.04
planten;karwijvarkenskervel;N12.04
planten;kattendoorn;N12.04
planten;knolvossenstaart;N12.04
planten;kruipend moerasscherm;N12.04
planten;kwelderzegge;N12.04
planten;laksteeltje;N12.04
planten;lidsteng;N12.04
planten;melkkruid;N12.04
planten;platte bies;N12.04
planten;polei;N12.04
planten;pijptorkruid;N12.04
planten;rode ogentroost;N12.04
planten;rode waterereprijs;N12.04
planten;schorrenzoutgras;N12.04
planten;selderij;N12.04
planten;stekende bies;N12.04
planten;voszegge;N12.04
planten;weidekerveltorkruid;N12.04
planten;witte munt;N12.04
planten;zeegerst;N12.04
planten;zeegroene rus;N12.04
planten;zeerus;N12.04
planten;zeeweegbree;N12.04
planten;zilt torkruid;N12.04
planten;zilte rus;N12.04
planten;zilte schijnspurrie;N12.04
planten;zilte waterranonkel;N12.04
planten;zilte zegge;N12.04
planten;zulte;N12.04
planten;aarvederkruid;N04.03
planten;fijn hoornblad;N04.03
planten;gesteelde zannichellia;N04.03
planten;groot nimfkruid;N04.03
planten;groot zeegras;N04.03
planten;snavelruppia;N04.03
planten;spiraalruppia;N04.03
planten;weegbreefonteinkruid;N04.03
planten;zilte waterranonkel;N04.03
planten;addertong;N10.02
planten;adderwortel;N10.02
planten;beemdooievaarsbek;N10.02
planten;bevertjes;N10.02
planten;bleke zegge;N10.02
planten;bosbies;N10.02
planten;brede orchis;N10.02
planten;draadrus;N10.02
planten;gevlekte orchis;N10.02
planten;gevleugeld hertshooi;N10.02
planten;gewone dotterbloem;N10.02
planten;grote pimpernel;N10.02
planten;gulden boterbloem;N10.02
planten;harlekijn;N10.02
planten;herfsttijloos;N10.02
planten;karwijselie;N10.02
planten;kleine valeriaan;N10.02
planten;klimopwaterranonkel;N10.02
planten;melkviooltje;N10.02
planten;moeraskartelblad;N10.02
planten;moerasstreepzaad;N10.02
planten;moesdistel;N10.02
planten;noords walstro;N10.02
planten;noordse zegge;N10.02
planten;platte bies;N10.02
planten;polei;N10.02
planten;rietorchis;N10.02
planten;rode ogentroost;N10.02
planten;trosdravik;N10.02
planten;verfbrem;N10.02
planten;vleeskleurige orchis;N10.02
planten;waterkruiskruid;N10.02
planten;herfsttijloos;N10.02
planten;weidekervel;N10.02
planten;weide-vergeet-mij-nietje;N10.02
planten;welriekende nachtorchis;N10.02
planten;wilde kievitsbloem;N10.02
planten;zilte rus;N10.02
planten;zwartblauwe rapunzel;N10.02
planten;addertong;N10.01
planten;armbloemige waterbies;N10.01
planten;bevertjes;N10.01
planten;blauwe knoop;N10.01
planten;bleke zegge;N10.01
planten;blonde zegge;N10.01
planten;bonte paardenstaart;N10.01
planten;brede orchis;N10.01
planten;breed wollegras;N10.01
planten;draadgentiaan;N10.01
planten;draadrus;N10.01
planten;draadzegge;N10.01
planten;dwergbloem;N10.01
planten;dwergrus;N10.01
planten;gele zegge;N10.01
planten;gevlekte orchis;N10.01
planten;gewone vleugeltjesbloem;N10.01
planten;groenknolorchis;N10.01
planten;grondster;N10.01
planten;grote muggenorchis;N10.01
planten;heidekartelblad;N10.01
planten;honingorchis;N10.01
planten;karwijselie;N10.01
planten;kleine valeriaan;N10.01
planten;klimopwaterranonkel;N10.01
planten;klokjesgentiaan;N10.01
planten;knolsteenbreek;N10.01
planten;knotszegge;N10.01
planten;koprus;N10.01
planten;kranskarwij;N10.01
planten;kruipende moerasweegbree;N10.01
planten;liggende vleugeltjesbloem;N10.01
planten;melkviooltje;N10.01
planten;moeraskartelblad;N10.01
planten;moerasstreepzaad;N10.01
planten;moeraswespenorchis;N10.01
planten;moesdistel;N10.01
planten;noordse zegge;N10.01
planten;paardenhaarzegge;N10.01
planten;parnassia;N10.01
planten;plat blaasjeskruid;N10.01
planten;rietorchis;N10.01
planten;ronde zegge;N10.01
planten;schildereprijs;N10.01
planten;schubzegge;N10.01
planten;Spaanse ruiter;N10.01
planten;sterzegge;N10.01
planten;teer guichelheil;N10.01
planten;tweehuizige zegge;N10.01
planten;veenmosorchis;N10.01
planten;vetblad;N10.01
planten;vleeskleurige orchis;N10.01
planten;vlozegge;N10.01
planten;waterdrieblad;N10.01
planten;weidekervel;N10.01
planten;welriekende nachtorchis;N10.01
planten;wijdbloeiende rus;N10.01
planten;zwartblauwe rapunzel;N10.01
planten;addertong;N08.04
planten;berendruif;N08.04
planten;dennenwolfsklauw;N08.04
planten;drienervige zegge;N08.04
planten;dwergviltkruid;N08.04
planten;dwergzegge;N08.04
planten;gaspeldoorn;N08.04
planten;geelhartje;N08.04
planten;gevlekte orchis;N08.04
planten;gewone vleugeltjesbloem;N08.04
planten;grote wolfsklauw;N08.04
planten;hondsviooltje;N08.04
planten;klein warkruid;N08.04
planten;klein wintergroen;N08.04
planten;kleine zonnedauw;N08.04
planten;kruipbrem;N08.04
planten;moeraskartelblad;N08.04
planten;moeras­wespenorchis;N08.04
planten;parnassia;N08.04
planten;rond wintergroen;N08.04
planten;ronde zonnedauw;N08.04
planten;rijsbes;N08.04
planten;stekelbrem;N08.04
planten;stofzaad;N08.04
planten;verfbrem;N08.04
planten;armbloemige waterbies;N08.03
planten;bitterling;N08.03
planten;bonte paardenstaart;N08.03
planten;brokkelig kransblad;N08.03
planten;draadfonteinkruid;N08.03
planten;draadgentiaan;N08.03
planten;drienervige zegge;N08.03
planten;duizendknoopfonteinkruid;N08.03
planten;dwergbloem;N08.03
planten;dwergrus;N08.03
planten;dwergvlas;N08.03
planten;fraai duizendguldenkruid;N08.03
planten;galigaan;N08.03
planten;gebogen kransblad;N08.03
planten;geelhartje;N08.03
planten;gevlekte orchis;N08.03
planten;groenknolorchis;N08.03
planten;grote boterbloem;N08.03
planten;grote muggenorchis;N08.03
planten;harlekijn;N08.03
planten;honingorchis;N08.03
planten;kleine knotszegge;N08.03
planten;knopbies;N08.03
planten;koprus;N08.03
planten;moerasgamander;N08.03
planten;moeraskartelblad;N08.03
planten;moeraswespenorchis;N08.03
planten;noordse rus;N08.03
planten;oeverkruid;N08.03
planten;ondergedoken moerasscherm;N08.03
planten;ongelijkbladig fonteinkruid;N08.03
planten;parnassia;N08.03
planten;rond wintergroen;N08.03
planten;ruw kransblad;N08.03
planten;slanke gentiaan;N08.03
planten;stekelharig kransblad;N08.03
planten;sterzegge;N08.03
planten;stijve moerasweegbree;N08.03
planten;teer guichelheil;N08.03
planten;teer vederkruid;N08.03
planten;veldgentiaan;N08.03
planten;verfbrem;N08.03
planten;vleeskleurige orchis;N08.03
planten;vlozegge;N08.03
planten;waterpunge;N08.03
planten;welriekende nachtorchis;N08.03
planten;wilde gagel;N08.03
planten;zilte rus;N08.03
planten;zilte waterranonkel;N08.03
planten;armbloemige waterbies;N01.02
planten;blauwe zeedistel;N01.02
planten;dwergbloem;N01.02
planten;dwergrus;N01.02
planten;dwergvlas;N01.02
planten;fijn goudscherm;N01.02
planten;galigaan;N01.02
planten;gesteelde zoutmelde;N01.02
planten;groenknolorchis;N01.02
planten;groot zeegras;N01.02
planten;heemst;N01.02
planten;honingorchis;N01.02
planten;klein slijkgras;N01.02
planten;klein winter-groen;N01.02
planten;klein zeegras;N01.02
planten;klokjesgentiaan;N01.02
planten;koprus;N01.02
planten;kwelderzegge;N01.02
planten;moeraswespenorchis;N01.02
planten;oeverkruid;N01.02
planten;ongelijkbla-dig fonteinkruid;N01.02
planten;overblijvende hardbloem;N01.02
planten;parnassia;N01.02
planten;rode bies;N01.02
planten;ronde zonnedauw;N01.02
planten;rond wintergroen;N01.02
planten;rozenkransje;N01.02
planten;selderij;N01.02
planten;stofzaad;N01.02
planten;spiraalruppia;N01.02
planten;stekende bies;N01.02
planten;stekelbrem;N01.02
planten;stijve moerasweegbree;N01.02
planten;veder-kruid;N01.02
planten;vierrijige ogentroost;N01.02
planten;vleeskleurige orchis;N01.02
planten;zeegerst;N01.02
planten;zeewinde;N01.02
planten;zeewolfsmelk;N01.02
planten;"zilt torkruid.
kranswieren: brakwater kransblad";N01.02
planten;brokkelig kransblad;N01.02
planten;kust kransblad;N01.02
planten;stekelharig kransblad.;N01.02
planten;beekpunge;N03.01
planten;bittere veldkers;N03.01
planten;doorgroeid fonteinkruid;N03.01
planten;drijvende waterweegbree;N03.01
planten;duizendknoopfonteinkruid;N03.01
planten;gesteeld sterrenkroos;N03.01
planten;gewone dotterbloem;N03.01
planten;glanzig fonteinkruid;N03.01
planten;groot blaasjeskruid;N03.01
planten;groot bronkruid;N03.01
planten;grote waterranonkel;N03.01
planten;haaksterrenkroos;N03.01
planten;klimopwaterranonkel;N03.01
planten;kransvederkruid;N03.01
planten;naaldwaterbies;N03.01
planten;ongelijkbladig fonteinkruid;N03.01
planten;paarbladig goudveil;N03.01
planten;plat fonteinkruid;N03.01
planten;puntig fonteinkruid;N03.01
planten;rossig fonteinkruid;N03.01
planten;smalle waterweegbree;N03.01
planten;teer vederkruid;N03.01
planten;verspreidbladig goudveil;N03.01
planten;vlottende bies;N03.01
planten;vlottende waterranonkel;N03.01
planten;waterviolier;N03.01
planten;witte waterkers;N03.01
planten;witte waterranonkel;N03.01
planten;beenbreek;N06.04
planten;blauwe knoop;N06.04
planten;bruine snavelbies;N06.04
planten;Canadees hertshooi;N06.04
planten;draadgentiaan;N06.04
planten;drienervige zegge;N06.04
planten;dwergbloem;N06.04
planten;dwergvlas;N06.04
planten;eenarig wollegras;N06.04
planten;geelgroene zegge;N06.04
planten;gevlekte orchis;N06.04
planten;gewone vleugeltjesbloem;N06.04
planten;grondster;N06.04
planten;grote wolfsklauw;N06.04
planten;heidekartelblad;N06.04
planten;hondsviooltje;N06.04
planten;kleine veenbes;N06.04
planten;kleine zonnedauw;N06.04
planten;klokjesgentiaan;N06.04
planten;knollathyrus;N06.04
planten;kruipbrem;N06.04
planten;kruipwilg;N06.04
planten;kussentjesveenmos;N06.04
planten;liggende vleugeltjesbloem;N06.04
planten;melkviooltje;N06.04
planten;moerassmele;N06.04
planten;moeraswolfsklauw;N06.04
planten;oeverkruid;N06.04
planten;riempjes;N06.04
planten;ronde zonnedauw;N06.04
planten;Spaanse ruiter;N06.04
planten;stekelbrem;N06.04
planten;stijve ogentroost;N06.04
planten;valkruid;N06.04
planten;veelstengelige waterbies;N06.04
planten;veenbies;N06.04
planten;wateraardbei;N06.04
planten;week veenmos;N06.04
planten;welriekende nachtorchis;N06.04
planten;wijdbloeiende rus;N06.04
planten;wilde gagel;N06.04
planten;witte snavelbies;N06.04
planten;zacht veenmos;N06.04
planten;Zweedse kornoelje;N06.04
planten;beenbreek;N01.04
planten;bottelroos;N01.04
planten;dennenwolfsklauw;N01.04
planten;dichte bermzegge;N01.04
planten;draadgentiaan;N01.04
planten;drijvende egelskop;N01.04
planten;drijvende waterweegbree;N01.04
planten;dwergbloem;N01.04
planten;dwergvlas;N01.04
planten;fraai hertshooi;N01.04
planten;groenknolorchis;N01.04
planten;grote leeuwenklauw;N01.04
planten;grote wolfsklauw;N01.04
planten;klavervreter;N01.04
planten;klein wintergroen;N01.04
planten;kleinste egelskop;N01.04
planten;kluwenklokje;N01.04
planten;knikkend nagelkruid;N01.04
planten;knolsteenbreek;N01.04
planten;lange zonnedauw;N01.04
planten;langstengelig fonteinkruid;N01.04
planten;ongelijkbladig fonteinkruid;N01.04
planten;overblijvende hardbloem;N01.04
planten;riempjes;N01.04
planten;rijsbes;N01.04
planten;ruige anjer;N01.04
planten;slank wollegras;N01.04
planten;spits havikskruid;N01.04
planten;stengelloze sleutelbloem;N01.04
planten;stofzaad;N01.04
planten;teer vederkruid;N01.04
planten;torenkruid;N01.04
planten;tweehuizige zegge;N01.04
planten;valse zandzegge;N01.04
planten;veenbloembies;N01.04
planten;veenmosorchis;N01.04
planten;vlottende waterranonkel;N01.04
planten;vogelnestje;N01.04
planten;weideklokje;N01.04
planten;weide-vergeet-mij-nietjeKranswieren: brakwater kransblad;N01.04
planten;brokkelig kransblad;N01.04
planten;fijnstekelig kransblad;N01.04
planten;gebogen kransblad;N01.04
planten;harig kransblad;N01.04
planten;groot boomglanswier;N01.04
planten;klein boomglanswier;N01.04
planten;kleinhoofdig glanswier;N01.04
planten;kustkransblad;N01.04
planten;stekelharig kransblad;N01.04
planten;sterkranswier;N01.04
planten;ruw kransblad;N01.04
planten;vertakt boomglanswier;N01.04
planten;beenbreek;N06.03
planten;bruin veenmos;N06.03
planten;draadzegge;N06.03
planten;eenarig wollegras;N06.03
planten;gevlekte orchis;N06.03
planten;hoogveenveenmos;N06.03
planten;kleine veenbes;N06.03
planten;kleine zonnedauw;N06.03
planten;kleinste egelskop;N06.03
planten;lange zonnedauw;N06.03
planten;lavendelhei;N06.03
planten;rood veenmos;N06.03
planten;slangenwortel;N06.03
planten;sterzegge;N06.03
planten;veenbloembies;N06.03
planten;veengaffeltandmos;N06.03
planten;vijfrijig veenmos;N06.03
planten;witte snavelbies;N06.03
planten;wrattig veenmos;N06.03
planten;besanjelier;N01.03
planten;bleek schildzaad;N01.03
planten;brede ereprijs;N01.03
planten;bruin cypergras;N01.03
planten;dichte bermzegge;N01.03
planten;driekantige bies;N01.03
planten;duifkruid;N01.03
planten;fraai duizendguldenkruid;N01.03
planten;fraai hertshooi;N01.03
planten;geelhartje;N01.03
planten;genadekruid;N01.03
planten;gipskruid;N01.03
planten;goudhaver;N01.03
planten;groenknolorchis;N01.03
planten;grote leeuwenklauw;N01.03
planten;heemst;N01.03
planten;kattendoorn;N01.03
planten;klavervreter;N01.03
planten;kluwenklokje;N01.03
planten;knikkend nagelkruid;N01.03
planten;knolsteen-breek;N01.03
planten;knolvossenstaart;N01.03
planten;kruidvlier;N01.03
planten;kruipend moerasscherm;N01.03
planten;kruisdistel;N01.03
planten;lange ereprijs;N01.03
planten;langstengelig fonteinkruid;N01.03
planten;liggende ereprijs;N01.03
planten;moeraswespenorchis;N01.03
planten;ongelijkbladig fonteinkruid;N01.03
planten;overblijvende hard-bloem;N01.03
planten;polei;N01.03
planten;rivierduinzegge;N01.03
planten;rode bremraap;N01.03
planten;ruige anjer;N01.03
planten;slank wollegras;N01.03
planten;sierlijke vetmuur;N01.03
planten;stijf struisriet;N01.03
planten;slijkgroen;N01.03
planten;spindotterbloem;N01.03
planten;torenkruid;N01.03
planten;tripmadam;N01.03
planten;veenmosorchis;N01.03
planten;vlottende waterranonkel;N01.03
planten;vroege zegge;N01.03
planten;weidekervel;N01.03
planten;weideklokje;N01.03
planten;wilde averuit;N01.03
planten;wilde kievitsbloem;N01.03
planten;witte munt;N01.03
planten;zandwolfsmelk;N01.03
planten;"zomer-klokje
Kranswieren: brakwater kransblad";N01.03
planten;brokkelig kransblad;N01.03
planten;fijnstekelig kransblad;N01.03
planten;gebogen kransblad;N01.03
planten;harig kransblad;N01.03
planten;groot boomglanswier;N01.03
planten;klein boomglanswier;N01.03
planten;kleinhoofdig glanswier;N01.03
planten;kustkransblad;N01.03
planten;stekelharig kransblad;N01.03
planten;sterkranswier;N01.03
planten;ruw kransblad;N01.03
planten;vertakt boomglanswier;N01.03
planten;bittere veldkers;N17.05
planten;bosmuur;N17.05
planten;groot moerasscherm;N17.05
planten;groot springzaad;N17.05
planten;klein touwtjesmos;N17.05
planten;moeraskruiskruid;N17.05
planten;moerasstreepzaad;N17.05
planten;moeraswolfsmelk;N17.05
planten;poelruit;N17.05
planten;rivierkruiskruid;N17.05
planten;scherpe zegge;N17.05
planten;spindotterbloem;N17.05
planten;verspreidbladig goudveil;N17.05
planten;vossenstaartmos;N17.05
planten;waterdrieblad;N17.05
planten;zomerklokje;N17.05
planten;gewone dotterbloem;N17.05
planten;groot touwtjesmos;N17.05
planten;bitterkruidbremraap;N08.02
planten;blauwe bremraap;N08.02
planten;blauwe zeedistel;N08.02
planten;bleek schildzaad;N08.02
planten;buntgras;N08.02
planten;duinaveruit;N08.02
planten;duinlangbaardgras;N08.02
planten;duinteunisbloem;N08.02
planten;Duits viltkruid;N08.02
planten;echt bitterkruid;N08.02
planten;geelhartje;N08.02
planten;gelobde maanvaren;N08.02
planten;glad parelzaad;N08.02
planten;harlekijn;N08.02
planten;hazenpootje;N08.02
planten;herfstschroeforchis;N08.02
planten;hondskruid;N08.02
planten;hondsviooltje;N08.02
planten;kegelsilene;N08.02
planten;klavervreter;N08.02
planten;klein wintergroen;N08.02
planten;kleine ruit;N08.02
planten;kleine rupsklaver;N08.02
planten;kruisbladgentiaan;N08.02
planten;liggende asperge;N08.02
planten;nachtsilene;N08.02
planten;oorsilene;N08.02
planten;rond wintergroen;N08.02
planten;rozenkransje;N08.02
planten;ruwe klaver;N08.02
planten;scherpkruid;N08.02
planten;sierlijke vetmuur;N08.02
planten;smal fakkelgras;N08.02
planten;stijve wolfsmelk;N08.02
planten;tengere distel;N08.02
planten;torenkruid;N08.02
planten;vals muizenoor;N08.02
planten;verfbrem;N08.02
planten;vierrijige ogentroost;N08.02
planten;walstrobremraap;N08.02
planten;welriekende salomonszegel;N08.02
planten;wilde averuit;N08.02
planten;wondklaver;N08.02
planten;zandhaver;N08.02
planten;zandviooltje;N08.02
planten;zeewolfsmelk;N08.02
planten;zilverhaver;N08.02
planten;zwenkdravik;N08.02
planten;bitterling;N09.01
planten;Deens lepelblad;N09.01
planten;dunstaart;N09.01
planten;echt lepelblad;N09.01
planten;Engels gras;N09.01
planten;Engels lepelblad;N09.01
planten;fraai duizendguldenkruid;N09.01
planten;fijn goudscherm;N09.01
planten;geelhartje;N09.01
planten;gesteelde zoutmelde;N09.01
planten;gewone zoutmelde;N09.01
planten;ijle lamsoor;N09.01
planten;klein slijkgras;N09.01
planten;knolvossenstaart;N09.01
planten;kwelderzegge;N09.01
planten;laksteeltje;N09.01
planten;lamsoor;N09.01
planten;noordse rus;N09.01
planten;parnassia;N09.01
planten;platte bies;N09.01
planten;rode bies;N09.01
planten;selderij;N09.01
planten;sierlijke vetmuur;N09.01
planten;stekende bies;N09.01
planten;stijve ogentroost;N09.01
planten;strandduizenguldenkruid;N09.01
planten;zeegerst;N09.01
planten;zilt torkruid;N09.01
planten;zilte zegge;N09.01
planten;blaasjeswier;N04.04
planten;darmwier;N04.04
planten;Dictyotadichomata;N04.04
planten;gesteelde zannichellia;N04.04
planten;groot zeegras;N04.04
planten;Iers mos;N04.04
planten;Japans bessenwier;N04.04
planten;snavelruppia;N04.04
planten;spiraalruppia;N04.04
planten;vingerwier;N04.04
planten;zeesla;N04.04
planten;blauwe knoop;N07.01
planten;borstelgras;N07.01
planten;buntgras;N07.01
planten;dennenwolfsklauw;N07.01
planten;drienervige zegge;N07.01
planten;Duitse brem;N07.01
planten;dwergviltkruid;N07.01
planten;ezelspootje;N07.01
planten;fraai hertshooi;N07.01
planten;gaspeldoorn;N07.01
planten;gerimpeld gaffeltandmos;N07.01
planten;gevlekte orchis;N07.01
planten;gewone eikvaren;N07.01
planten;gewone vleugeltjesbloem;N07.01
planten;grondster;N07.01
planten;grote bremraap;N07.01
planten;grote wolfsklauw;N07.01
planten;hamerblaadje;N07.01
planten;heidezegge;N07.01
planten;hondsviooltje;N07.01
planten;jeneverbes;N07.01
planten;klein warkruid;N07.01
planten;kleine tijm;N07.01
planten;kleine wolfsklauw;N07.01
planten;klokjesgentiaan;N07.01
planten;knollathyrus;N07.01
planten;kruipbrem;N07.01
planten;kruipwilg;N07.01
planten;kussentjesmos;N07.01
planten;liggende vleugeltjesbloem;N07.01
planten;riempjes;N07.01
planten;rode dophei;N07.01
planten;rode heikorst;N07.01
planten;roze heikorst;N07.01
planten;rozenkransje;N07.01
planten;slanke ogentroost;N07.01
planten;stekelbrem;N07.01
planten;stijve ogentroost;N07.01
planten;stuifzandkorrelloof;N07.01
planten;valkruid;N07.01
planten;verfbrem;N07.01
planten;IJslands mos;N07.01
planten;zandblauwtje;N07.01
planten;zilverhaver;N07.01
planten;blauwe knoop;N05.02
planten;doorgroeid fonteinkruid;N05.02
planten;draadzegge;N05.02
planten;echt lepelblad;N05.02
planten;galigaan;N05.02
planten;gevleugeld hertshooi;N05.02
planten;gewone dotterbloem;N05.02
planten;groenknolorchis;N05.02
planten;grote boterbloem;N05.02
planten;kamvaren;N05.02
