Parameter;Methode;Frequentie;beheercode;AantalJaar;AantalJaarControl
structuurelementen;Bepaling bedekking;6 jaar;N01.01;6;
fauna;Inventarisatie kwalificerende soorten;6 jaar;N01.01;6;
milieu- & watercondities;Bepaling dynamiek;6 jaar;N01.01;6;
structuurelementen;Bepaling bedekking*;6 jaar;N01.02;6;
natuurlijkheid incl. stikstofdepositie;Bepalen aanwezigheid soorten en procesfactoren;6 jaar;N01.02;6;
planten;Inventarisatie kwalificerende soorten (budget voor 20% van het oppervlak);6 jaar;N01.02;6;
broedvogels;Inventarisatie kwalificerende soorten (budget voor 20% van het oppervlak;6 jaar;N01.02;6;
structuurelementen;Bepaling bedekking*;6 jaar;N01.03;6;
natuurlijkheid incl. stikstofdepositie;Bepalen aanwezigheid soorten en procesfactoren;6 jaar;N01.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N01.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N01.03;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N01.03;6;
structuurelementen;Bepaling bedekking;6 jaar;N01.04;6;
natuurlijkheid incl. stikstofdepositie;Bepalen aanwezigheid soorten en procesfactoren;6 jaar;N01.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N01.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N01.04;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N01.04;6;
structuurelementen;Bepaling bedekking;6 jaar;N02.01;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N02.01;6;
vissen;inventarisatie kwalificerende soorten;6 jaar;N02.01;6;
libellen;inventarisatie kwalificerende adulten;3 jaar;N02.01;3;
libellen;Inventarisatie kwalificerende larven;6 jaar;N02.01;6;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N02.01;6;
chemie;Watermonster analyse;6 jaar;N02.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N02.01;6;
vegetatie;Vegetatiekartering;12 jaar;N02.01;12;
structuurelementen;Bepaling bedekking;6 jaar;N03.01;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N03.01;6;
vissen;Inventarisatie kwalificerende soorten;6 jaar;N03.01;6;
libellen;Inventarisatie kwalificerende adulten;3 jaar;N03.01;3;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N03.01;6;
chemie;Watermonster analyse;6 jaar;N03.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N03.01;6;
vegetatie;Vegetatiekartering;12 jaar;N03.01;12;
structuurelementen;Bepaling bedekking;6 jaar;N04.01;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N04.01;6;
vissen;Inventarisatie kwalificerende soorten;6 jaar;N04.01;6;
libellen;Inventarisatie kwalificerende adulten;3 jaar;N04.01;3;
libellen;Inventarisatie kwalificerende larven;6 jaar;N04.01;6;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N04.01;6;
chemie;Watermonster analyse;6 jaar;N04.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N04.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N04.01;6;
vegetatie;Vegetatiekartering;12 jaar;N04.01;12;
structuurelementen;Bepaling bedekking;6 jaar;N04.02;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N04.02;6;
vissen;inventarisatie kwalificerende soorten;6 jaar;N04.02;6;
libellen;inventarisatie kwalificerende adulten;3 jaar;N04.02;3;
libellen;Inventarisatie kwalificerende larven;6 jaar;N04.02;6;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N04.02;6;
chemie;Watermonster analyse;6 jaar;N04.02;6;
vegetatie;Vegetatiekartering;12 jaar;N04.02;12;
stikstofdepositie;opvragen stikstofdepositie;6 jaar;N04.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N04.02;6;
structuurelementen;Bepaling bedekking;6 jaar;N04.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N04.03;6;
vissen;Inventarisatie kwalificerende soorten;6 jaar;N04.03;6;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N04.03;6;
chemie;Watermonster analyse;6 jaar;N04.03;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N04.03;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N04.03;6;
vegetatie;Vegetatiekartering;12 jaar;N04.03;12;
structuurelementen;Bepaling bedekking;6 jaar;N04.04;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N04.04;6;
vissen;inventarisatie kwalificerende soorten;6 jaar;N04.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N04.04;6;
hydrologie;GIS-analyse en veldwaarneming;6 jaar;N04.04;6;
chemie;Watermonster analyse;6 jaar;N04.04;6;
stikstofdepositie;opvragen stikstofdepositie;6 jaar;N04.04;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N04.04;6;
vegetatie;Vegetatiekartering;12 jaar;N04.04;12;
structuurelementen;Bepaling bedekking;6 jaar;N05.01;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N05.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N05.01;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N05.01;6;
standplaatsfactoren;Iteratio (aangevuld met directe metingen en expertoordeel);12 jaar en controle na 6 jaar;N05.01;12;6
vegetatie;Vegetatiekartering;12 jaar;N05.01;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N05.01;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N05.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N05.02;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N05.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N05.02;6;
structuurelementen;Bepaling bedekking;6 jaar;N05.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N05.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N05.03;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N05.03;6;
standplaatsfactoren;Iteratio (aangevuld met directe metingen en expertoordeel);12 jaar en controle na 6 jaar;N05.03;12;6
vegetatie;Vegetatiekartering;12 jaar;N05.03;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N05.03;6;
structuurelementen;Bepaling bedekking;6 jaar;N05.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N05.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N05.04;6;
standplaatsfactoren;Iteratio (aangevuld met directe metingen en expertoordeel);12 jaar en controle na 6 jaar;N05.04;12;6
vegetatie;Vegetatiekartering;12 jaar;N05.04;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N05.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N06.01;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N06.01;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.01;6;
vegetatie;Vegetatiekartering;12 jaar;N06.01;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.01;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N06.02;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.02;6;
vegetatie;Vegetatiekartering;12 jaar;N06.02;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.02;6;
structuurelementen;Bepaling bedekking;6 jaar;N06.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N06.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N06.03;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N06.03;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.03;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.03;6;
vegetatie;Vegetatiekartering;12 jaar;N06.03;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.03;6;
structuurelementen;Bepaling bedekking;6 jaar;N06.04;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N06.04;6;
broedvogels;inventarisatie kwalificerende soorten;6 jaar;N06.04;6;
dagvlinders & sprinkhanen;Inventarisatie kwalificerende soorten;6 jaar;N06.04;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.04;6;
vegetatie;Vegetatiekartering;12 jaar;N06.04;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.04;6;
structuurelementen;Bepaling bedekking;6 jaar;N06.05;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N06.05;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N06.05;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.05;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.05;6;
vegetatie;Vegetatiekartering;12 jaar;N06.05;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.05;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N06.06;6;
libellen;Inventarisatie kwalificerende soorten;6 jaar;N06.06;6;
bepaling abiotiek;Diverse methoden;6 jaar;N06.06;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N06.06;6;
vegetatie;Vegetatiekartering;12 jaar;N06.06;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N06.06;6;
structuurelementen;Bepaling bedekking;6 jaar;N07.01;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N07.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N07.01;6;
dagvlinders & sprinkhanen;inventarisatie kwalificerende soorten;6 jaar;N07.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N07.01;6;
vegetatie;Vegetatiekartering;12 jaar;N07.01;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N07.01;6;
structuurelementen;Bepaling bedekking;6 jaar;N07.02;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N07.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N07.02;6;
dagvlinders & sprinkhanen;inventarisatie kwalificerende soorten;6 jaar;N07.02;6;
bepaling abiotiek;Diverse methoden;6 jaar;N07.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N07.02;6;
vegetatie;Vegetatiekartering;12 jaar;N07.02;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N07.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N08.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N08.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N08.01;6;
vegetatie;Vegetatiekartering;12 jaar;N08.01;12;
structuurelementen;Bepaling bedekking;6 jaar;N08.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N08.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N08.02;6;
dagvlinders & sprinkhanen;Inventarisatie kwalificerende soorten;6 jaar;N08.02;6;
bepaling abiotiek;Diverse methoden;6 jaar;N08.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N08.02;6;
vegetatie;Vegetatiekartering;12 jaar;N08.02;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N08.02;6;
structuurelementen;Bepaling bedekking;6 jaar;N08.03;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N08.03;6;
broedvogels;inventarisatie kwalificerende soorten;6 jaar;N08.03;6;
bepaling abiotiek;Diverse methoden;6 jaar;N08.03;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N08.03;6;
vegetatie;Vegetatiekartering;12 jaar;N08.03;12;
structuurelementen;Bepaling bedekking;6 jaar;N08.04;6;
planten;inventarisatie kwalificerende soorten;6 jaar;N08.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N08.04;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N08.04;6;
bepaling abiotiek;Diverse methoden;6 jaar;N08.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N08.04;6;
vegetatie;Vegetatiekartering;12 jaar;N08.04;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N08.04;6;
structuurelementen;Bepaling bedekking;6 jaar;N09.01;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N09.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N09.01;6;
vegetatie;Vegetatiekartering;12 jaar;N09.01;12;
planten;inventarisatie kwalificerende soorten;6 jaar;N10.01;6;
dagvlinders & sprinkhanen;Inventarisatie kwalificerende soorten;6 jaar;N10.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N10.01;6;
bepaling abiotiek;Diverse methoden;6 jaar;N10.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N10.01;6;
vegetatie;Vegetatiekartering;12 jaar;N10.01;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N10.01;6;
structuurelementen;Bepaling bedekking;6 jaar;N11.01;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N11.01;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N11.01;6;
bepaling abiotiek;Diverse methoden;6 jaar;N11.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N11.01;6;
vegetatie;Vegetatiekartering;12 jaar;N11.01;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N11.01;6;
vegetatie;Vegetatiekartering alleen indien sprake kan zijn van aanwezigheid Natura2000- habitattype H6120 Stroomdalgraslanden;12 jaar;N12.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.01;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N12.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.01;6;
structuurelementen;Bepaling bedekking;6 jaar;N12.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.02;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N12.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.03;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N12.03;6;
vegetatie;Vegetatiekartering;12 jaar;N12.03;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.03;6;
structuurelementen;Bepaling bedekking;6 jaar;N12.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.04;6;
vegetatie;Vegetatiekartering;12 jaar;N12.04;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.06;6;
broedvogels;Inventarisatie kwalificerende soorten;3 jaar;N13.01;3;
bepaling abiotiek;Diverse methoden;6 jaar;N13.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N13.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N13.02;6;
wintergasten;Wintertelling;1 jaar;N13.02;1;
structuurelementen;Bosstructuurkartering;12 jaar;N14.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.01;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N14.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.01;6;
vegetatie;Vegetatiekartering;12 jaar;N14.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.02;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.02;6;
stikstof;Opvragen depositie;6 jaar;N14.02;6;
vegetatie;Vegetatiekartering;12 jaar;N14.02;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.02;6;
structuurelementen;Bosstructuurkatering;12 jaar;N14.03;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.03;6;
vegetatie;Alleen kartering indien Natura2000-gebied;12 jaar;N14.03;12;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N14.03;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.03;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.03;6;
structuurelementen;Bosstructuurkartering;12 jaar;N15.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N15.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N15.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N15.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N15.01;6;
structuurelementen;Bosstructuurkartering;12 jaar;N15.02;12;
planten;Inventarisatie kwalificerende soorten;12 jaar;N15.02;12;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N15.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N15.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N15.02;6;
structuurelementen;Bosstructuurkartering;12 jaar;N16.04;12;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N16.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N16.04;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N16.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N17.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.05;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.05;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N17.06;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.06;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.06;6;
